name,input_sell_in,input_quality,expected_sell_in,expected_quality
+5 Dexterity Vest,50,50,49,49
+5 Dexterity Vest,50,45,49,44
+5 Dexterity Vest,50,40,49,39
+5 Dexterity Vest,50,35,49,34
+5 Dexterity Vest,50,30,49,29
+5 Dexterity Vest,50,25,49,24
+5 Dexterity Vest,50,20,49,19
+5 Dexterity Vest,50,15,49,14
+5 Dexterity Vest,50,10,49,9
+5 Dexterity Vest,50,5,49,4
+5 Dexterity Vest,50,0,49,0
+5 Dexterity Vest,45,50,44,49
+5 Dexterity Vest,45,45,44,44
+5 Dexterity Vest,45,40,44,39
+5 Dexterity Vest,45,35,44,34
+5 Dexterity Vest,45,30,44,29
+5 Dexterity Vest,45,25,44,24
+5 Dexterity Vest,45,20,44,19
+5 Dexterity Vest,45,15,44,14
+5 Dexterity Vest,45,10,44,9
+5 Dexterity Vest,45,5,44,4
+5 Dexterity Vest,45,0,44,0
+5 Dexterity Vest,40,50,39,49
+5 Dexterity Vest,40,45,39,44
+5 Dexterity Vest,40,40,39,39
+5 Dexterity Vest,40,35,39,34
+5 Dexterity Vest,40,30,39,29
+5 Dexterity Vest,40,25,39,24
+5 Dexterity Vest,40,20,39,19
+5 Dexterity Vest,40,15,39,14
+5 Dexterity Vest,40,10,39,9
+5 Dexterity Vest,40,5,39,4
+5 Dexterity Vest,40,0,39,0
+5 Dexterity Vest,35,50,34,49
+5 Dexterity Vest,35,45,34,44
+5 Dexterity Vest,35,40,34,39
+5 Dexterity Vest,35,35,34,34
+5 Dexterity Vest,35,30,34,29
+5 Dexterity Vest,35,25,34,24
+5 Dexterity Vest,35,20,34,19
+5 Dexterity Vest,35,15,34,14
+5 Dexterity Vest,35,10,34,9
+5 Dexterity Vest,35,5,34,4
+5 Dexterity Vest,35,0,34,0
+5 Dexterity Vest,30,50,29,49
+5 Dexterity Vest,30,45,29,44
+5 Dexterity Vest,30,40,29,39
+5 Dexterity Vest,30,35,29,34
+5 Dexterity Vest,30,30,29,29
+5 Dexterity Vest,30,25,29,24
+5 Dexterity Vest,30,20,29,19
+5 Dexterity Vest,30,15,29,14
+5 Dexterity Vest,30,10,29,9
+5 Dexterity Vest,30,5,29,4
+5 Dexterity Vest,30,0,29,0
+5 Dexterity Vest,25,50,24,49
+5 Dexterity Vest,25,45,24,44
+5 Dexterity Vest,25,40,24,39
+5 Dexterity Vest,25,35,24,34
+5 Dexterity Vest,25,30,24,29
+5 Dexterity Vest,25,25,24,24
+5 Dexterity Vest,25,20,24,19
+5 Dexterity Vest,25,15,24,14
+5 Dexterity Vest,25,10,24,9
+5 Dexterity Vest,25,5,24,4
+5 Dexterity Vest,25,0,24,0
+5 Dexterity Vest,20,50,19,49
+5 Dexterity Vest,20,45,19,44
+5 Dexterity Vest,20,40,19,39
+5 Dexterity Vest,20,35,19,34
+5 Dexterity Vest,20,30,19,29
+5 Dexterity Vest,20,25,19,24
+5 Dexterity Vest,20,20,19,19
+5 Dexterity Vest,20,15,19,14
+5 Dexterity Vest,20,10,19,9
+5 Dexterity Vest,20,5,19,4
+5 Dexterity Vest,20,0,19,0
+5 Dexterity Vest,15,50,14,49
+5 Dexterity Vest,15,45,14,44
